Date,3Mo,6Mo,1Yr,2Yr,3Yr,4Yr,5Yr,7Yr,10Yr,30Yr
1/28/1991,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
1/29/1991,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
1/30/1991,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
1/31/1991,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
2/1/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/4/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/5/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/6/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/7/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/8/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/11/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/12/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/13/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/14/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/15/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/19/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/20/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2/21/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08
2/22/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08
2/25/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08
2/26/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08
2/27/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08
2/28/1991,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08
3/1/1991,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
